                 6F --- 73: 30, 74: 06, 75: 00, 6F: 10, 70: 00
                 74 --- 73: 30, 74: 05, 75: 00, 6F: 10, 70: 00
                 73 --- 73: 60, 74: 05, 75: 00, 6F: 10, 70: 00
                 6F --- 73: 60, 74: 05, 75: 00, 6F: 20, 70: 00
                 74 --- 73: 60, 74: 04, 75: 00, 6F: 20, 70: 00
                 73 --- 73: C0, 74: 04, 75: 00, 6F: 20, 70: 00
                 6F --- 73: C0, 74: 04, 75: 00, 6F: 40, 70: 00
                 74 --- 73: C0, 74: 03, 75: 00, 6F: 40, 70: 00
                 73 --- 73: 80, 74: 03, 75: 00, 6F: 40, 70: 00
                 6F --- 73: 80, 74: 03, 75: 00, 6F: 81, 70: 00
                 74 --- 73: 80, 74: 02, 75: 00, 6F: 81, 70: 00
                 73 --- 73: 00, 74: 02, 75: 00, 6F: 81, 70: 00
                 6F --- 73: 00, 74: 02, 75: 00, 6F: 03, 70: 00
                 74 --- 73: 00, 74: 01, 75: 00, 6F: 03, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 03, 70: 00
                 6F --- 73: 00, 74: 01, 75: 00, 6F: 06, 70: 00
                 74 --- 73: 00, 74: 00, 75: 00, 6F: 06, 70: 00
   WRITE 60CC -> 06 --- 73: 00, 74: 00, 75: 00, 6F: 06, 70: 00
                 74 --- 73: 00, 74: 01, 75: 00, 6F: 06, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 06, 70: 00
                 6F --- 73: 00, 74: 01, 75: 00, 6F: 0C, 70: 00
READ  9D99 <- 84    --- 73: 00, 74: 01, 75: 00, 6F: 0C, 70: 00
                 73 --- 73: 84, 74: 01, 75: 00, 6F: 0C, 70: 00
                 74 --- 73: 84, 74: 00, 75: 00, 6F: 0C, 70: 00
                 74 --- 73: 84, 74: 08, 75: 00, 6F: 0C, 70: 00
                 73 --- 73: 08, 74: 08, 75: 00, 6F: 0C, 70: 00
                 6F --- 73: 08, 74: 08, 75: 00, 6F: 19, 70: 00
                 74 --- 73: 08, 74: 07, 75: 00, 6F: 19, 70: 00
                 73 --- 73: 10, 74: 07, 75: 00, 6F: 19, 70: 00
                 6F --- 73: 10, 74: 07, 75: 00, 6F: 32, 70: 00
                 74 --- 73: 10, 74: 06, 75: 00, 6F: 32, 70: 00
                 73 --- 73: 20, 74: 06, 75: 00, 6F: 32, 70: 00
                 6F --- 73: 20, 74: 06, 75: 00, 6F: 64, 70: 00
